epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.1999,0.94821,4.56502,1.44026,0.4835,0.41633,0.44506,0.31217,0.49859,8.18896,1.10082,6e-05,6e-05,6e-05
2,29.9312,0.8737,4.40622,1.35366,0.51829,0.48148,0.42269,0.27308,0.52393,8.29968,1.11463,0.00013769,0.00013769,0.00013769
3,32.2197,0.73671,3.44484,1.28166,0.56666,0.81481,0.71324,0.56967,0.77838,7.03736,1.37087,0.00021274,0.00021274,0.00021274
4,35.1016,0.69339,2.36586,1.26481,0.94428,0.77778,0.89854,0.56745,1.09594,6.87012,1.77493,0.00028515,0.00028515,0.00028515
5,37.0413,0.66965,1.55538,1.16629,0.65108,0.7605,0.76497,0.2272,1.68432,8.27079,2.54909,0.00035492,0.00035492,0.00035492
6,38.9803,0.68253,1.33409,1.21701,0.94416,0.85185,0.93433,0.55095,1.1363,4.62855,1.86923,0.00042205,0.00042205,0.00042205
7,40.879,0.64713,1.08978,1.23132,0.94836,0.81481,0.91778,0.4651,1.6122,3.99019,2.27574,0.00048654,0.00048654,0.00048654
8,42.7755,0.63501,1.07096,1.2334,0.56383,0.52689,0.48046,0.21539,1.70368,6.42125,2.70571,0.00054839,0.00054839,0.00054839
9,44.6016,0.6856,1.03465,1.24093,0.67111,0.25926,0.31828,0.15625,2.45985,6.27885,3.03158,0.0006076,0.0006076,0.0006076
10,47.1245,0.71919,1.04975,1.22934,0.7416,0.22222,0.24259,0.15033,2.86092,9.03868,4.02063,0.00066417,0.00066417,0.00066417
11,49.7748,0.75179,0.90515,1.27165,0.62518,0.14815,0.17404,0.11802,2.6754,7.81097,3.5687,0.0007181,0.0007181,0.0007181
12,51.6925,0.80381,1.01484,1.29031,0.2032,0.33333,0.20719,0.08063,2.03455,10.0441,3.63542,0.00076939,0.00076939,0.00076939
13,53.6018,0.78344,0.85817,1.25959,0.23653,0.48148,0.20833,0.09447,1.54841,10.831,2.43643,0.00081804,0.00081804,0.00081804
14,55.532,0.72484,0.8061,1.26414,0.50566,0.55556,0.48542,0.32286,1.31681,8.07352,2.68485,0.00086405,0.00086405,0.00086405
15,57.4,0.77334,0.84457,1.24945,0.00875,0.03704,0.00148,0.00022,4.17436,11.1309,6.82831,0.00090742,0.00090742,0.00090742
16,59.2182,0.73659,0.77746,1.20356,0.00663,0.07407,0.00069,7e-05,4.3505,17.7163,7.64935,0.00094815,0.00094815,0.00094815
17,61.7262,0.76419,0.88402,1.26538,0.02988,0.14815,0.00552,0.00269,3.68723,18.7483,4.90084,0.00098624,0.00098624,0.00098624
18,64.8454,0.7831,0.77416,1.27364,0.28352,0.2963,0.23245,0.11225,2.72723,14.753,3.42813,0.00102169,0.00102169,0.00102169
19,67.0936,0.73315,0.75797,1.23578,0.31445,0.2963,0.24193,0.10378,2.49816,8.56224,3.4545,0.0010545,0.0010545,0.0010545
20,68.9561,0.79587,0.8093,1.26513,0.35475,0.59259,0.39973,0.13565,2.49759,4.91835,3.41517,0.00108467,0.00108467,0.00108467
21,70.8919,0.74776,0.76053,1.27018,0.35326,0.64754,0.59266,0.23717,1.7958,6.87933,2.68197,0.0011122,0.0011122,0.0011122
22,72.7471,0.75528,0.69725,1.25107,0.23948,0.6998,0.24321,0.05588,2.46264,8.59596,3.27427,0.00113709,0.00113709,0.00113709
23,74.5584,0.69085,0.69113,1.22965,0.2624,0.55343,0.19772,0.04591,2.68442,7.28774,3.52802,0.00115934,0.00115934,0.00115934
24,77.3229,0.84937,0.82935,1.31797,0.19066,0.33333,0.13333,0.0317,2.76341,5.88014,3.60496,0.00117895,0.00117895,0.00117895
25,79.741,0.81299,0.72094,1.31583,0.27611,0.44444,0.29681,0.08877,2.54874,6.48138,3.52237,0.00119592,0.00119592,0.00119592
26,81.6273,0.68232,0.72166,1.21019,0.41753,0.33333,0.35981,0.18939,2.08252,5.03001,3.36036,0.001175,0.001175,0.001175
27,83.5015,0.74076,0.67234,1.18616,0.3757,0.44444,0.34906,0.21575,1.65025,3.19345,3.08236,0.001142,0.001142,0.001142
28,85.3964,0.67034,0.68049,1.1939,0.68728,0.62963,0.65786,0.2874,1.57101,2.66024,3.18547,0.001109,0.001109,0.001109
